2026-05-07 18:57:41 - ALERT: 2026-05-01 22:14:20 CRITICAL - Backup Power: Low Battery 10%
2026-05-12 17:28:31 - ALERT: 2026-05-01 22:14:20 CRITICAL - Backup Power: Low Battery 10%"CRITICAL: Patient Heart Rate High!" 
2026-05-12 18:06:28 - ALERT: 2026-05-01 22:14:20 CRITICAL - Backup Power: Low Battery 10%
2026-05-12 18:17:19 - ALERT: 2026-05-12 21:25:30 CRITICAL - Main Server: Database Connection Failed - Vital Signs lost
2026-05-12 18:17:30 - ALERT: 2026-05-12 21:20:25 CRITICAL - Patient ID 505: Cardiac Arrest Detected - Code Blue!
2026-06-03 15:27:07 - ALERT | ID:  | Device: 18
2026-06-03 15:32:47 - ALERT | ID:  | Device: 18
2026-06-03 15:36:19 - ALERT | ID: 777 | Device: 18
2026-06-03 15:36:43 - ALERT | ID: 999 | Device: 18
2026-06-03 15:56:35 - ALERT | ID: 111 | Device: 19
2026-06-03 17:18:23 - ALERT | ID: 888 | Device: 20
2026-06-03 17:19:43 - ALERT | ID: 303 | Device: 20
2026-06-03 17:25:25 - ALERT | ID: 606 | Device: ICU_Ventilator
2026-06-03 17:25:25 - ALERT | ID: 606 | Device: ICU_Ventilator
2026-06-03 17:25:27 - ALERT | ID: 606 | Device: ICU_Ventilator
2026-06-03 17:26:45 - ALERT | ID: 606 | Device: 20
2026-06-03 17:27:23 - ALERT | ID: 606 | Device: 20
2026-06-03 17:26:48 - ALERT | ID: 606 | Device: 20
2026-06-03 17:33:48 - ALERT | ID: 606 | Device: 20
2026-06-03 17:33:48 - ALERT | ID: 606 | Device: 20
2026-06-03 17:33:49 - ALERT | ID: 606 | Device: 20
2026-06-03 17:49:12 - ALERT | ID: 101 | Device: 21
2026-06-03 17:50:49 - ALERT | ID: 707 | Device: 21
2026-06-04 15:22:35 - ALERT | ID: 606 | Device: 20
2026-06-04 15:22:35 - ALERT | ID: 606 | Device: 20
2026-06-04 15:22:35 - ALERT | ID: 606 | Device: 20
2026-06-04 15:22:35 - ALERT | ID: 606 | Device: 20
2026-06-04 15:22:35 - ALERT | ID: 606 | Device: 20
2026-06-04 15:22:35 - ALERT | ID: 606 | Device: 20
2026-06-04 15:22:35 - ALERT | ID: 606 | Device: 20
2026-06-04 15:22:35 - ALERT | ID: 606 | Device: 20
2026-06-04 15:22:35 - ALERT | ID: 101 | Device: 21
2026-06-04 15:22:35 - ALERT | ID: 707 | Device: 21
2026-06-04 15:29:14 - ALERT | ID: 909 | Device: 18
2026-06-09 19:55:15 - ALERT | ID: 606 | Device: 20
2026-06-09 19:55:17 - ALERT | ID: 606 | Device: 20
2026-06-09 19:55:20 - ALERT | ID: 606 | Device: 20
2026-06-09 19:55:26 - ALERT | ID: 606 | Device: 20
2026-06-09 19:55:25 - ALERT | ID: 606 | Device: 20
2026-06-09 19:55:27 - ALERT | ID: 606 | Device: 20
2026-06-09 19:55:30 - ALERT | ID: 606 | Device: 20
2026-06-09 19:55:35 - ALERT | ID: 101 | Device: 21
2026-06-09 19:55:38 - ALERT | ID: 707 | Device: 21
2026-06-09 19:55:41 - ALERT | ID: 909 | Device: 18
2026-06-09 19:59:26 - ALERT | ID: 606 | Device: 20
2026-06-09 19:59:26 - ALERT | ID: 606 | Device: 20
2026-06-09 19:59:26 - ALERT | ID: 606 | Device: 20
2026-06-09 19:59:26 - ALERT | ID: 606 | Device: 20
2026-06-09 19:59:26 - ALERT | ID: 606 | Device: 20
2026-06-09 19:59:26 - ALERT | ID: 606 | Device: 20
2026-06-09 19:59:26 - ALERT | ID: 606 | Device: 20
2026-06-09 19:59:26 - ALERT | ID: 101 | Device: 21
2026-06-09 19:59:26 - ALERT | ID: 707 | Device: 21
2026-06-09 19:59:26 - ALERT | ID: 909 | Device: 18
2026-06-09 20:07:18 - ALERT | ID: 606 | Device: 20
2026-06-09 20:07:18 - ALERT | ID: 606 | Device: 20
2026-06-09 20:07:18 - ALERT | ID: 606 | Device: 20
2026-06-09 20:07:18 - ALERT | ID: 606 | Device: 20
2026-06-09 20:07:18 - ALERT | ID: 606 | Device: 20
2026-06-09 20:07:18 - ALERT | ID: 606 | Device: 20
2026-06-09 20:07:18 - ALERT | ID: 606 | Device: 20
2026-06-09 20:07:18 - ALERT | ID: 101 | Device: 21
2026-06-09 20:07:18 - ALERT | ID: 707 | Device: 21
2026-06-09 20:07:18 - ALERT | ID: 909 | Device: 18
2026-06-09 20:12:22 - ALERT | ID: 606 | Device: 20
2026-06-09 20:12:22 - ALERT | ID: 606 | Device: 20
2026-06-09 20:12:23 - ALERT | ID: 606 | Device: 20
2026-06-09 20:12:23 - ALERT | ID: 606 | Device: 20
2026-06-09 20:12:23 - ALERT | ID: 606 | Device: 20
2026-06-09 20:12:23 - ALERT | ID: 606 | Device: 20
2026-06-09 20:12:23 - ALERT | ID: 606 | Device: 20
2026-06-09 20:12:23 - ALERT | ID: 101 | Device: 21
2026-06-09 20:12:23 - ALERT | ID: 707 | Device: 21
2026-06-09 20:12:23 - ALERT | ID: 909 | Device: 18
